symbol,timestamp,trend,entry_price,ml_p_win,accepted
BTCUSDT,1754337600000,uptrend,115208.58553000001,0.0,False
BTCUSDT,1754338500000,uptrend,115208.58553000001,0.0,False
BTCUSDT,1754339400000,uptrend,115208.58553000001,0.0,False
BTCUSDT,1754340300000,uptrend,115208.58553000001,0.0,False
BTCUSDT,1754341200000,uptrend,115208.58553000001,0.0,False
BTCUSDT,1754342100000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754343000000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754343900000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754344800000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754345700000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754346600000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754347500000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754348400000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754349300000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754350200000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754351100000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754352000000,uptrend,115233.28153000001,0.0,False
BTCUSDT,1754372700000,downtrend,114674.76205,0.0,False
BTCUSDT,1754373600000,downtrend,114674.76205,0.0,False
BTCUSDT,1754374500000,downtrend,114674.76205,0.0,False
BTCUSDT,1754375400000,downtrend,114674.76205,0.0,False
BTCUSDT,1754376300000,downtrend,114674.76205,0.0,False
BTCUSDT,1754377200000,downtrend,114674.76205,0.0,False
BTCUSDT,1754378100000,downtrend,114674.76205,0.0,False
BTCUSDT,1754379000000,downtrend,114304.61311,0.0,False
BTCUSDT,1754379900000,downtrend,114304.61311,0.0,False
BTCUSDT,1754380800000,downtrend,114304.61311,0.0,False
BTCUSDT,1754381700000,downtrend,114304.61311,0.0,False
BTCUSDT,1754382600000,downtrend,114304.61311,0.0,False
BTCUSDT,1754383500000,downtrend,114067.46854,0.0,False
ETHUSDT,1754215200000,uptrend,3455.06949,0.0,False
ETHUSDT,1754216100000,uptrend,3455.06949,0.0,False
ETHUSDT,1754217000000,uptrend,3455.06949,0.0,False
ETHUSDT,1754217900000,uptrend,3455.06949,0.0,False
ETHUSDT,1754218800000,uptrend,3455.06949,0.0,False
ETHUSDT,1754219700000,uptrend,3455.06949,0.0,False
ETHUSDT,1754220600000,uptrend,3455.06949,0.0,False
ETHUSDT,1754221500000,uptrend,3455.06949,0.0,False
ETHUSDT,1754222400000,uptrend,3455.06949,0.0,False
ETHUSDT,1754223300000,uptrend,3481.38721,0.0,False
ETHUSDT,1754224200000,uptrend,3481.38721,0.0,False
ETHUSDT,1754225100000,uptrend,3481.38721,0.0,False
ETHUSDT,1754226000000,uptrend,3481.38721,0.0,False
ETHUSDT,1754226900000,uptrend,3481.38721,0.0,False
ETHUSDT,1754227800000,uptrend,3481.38721,0.0,False
ETHUSDT,1754228700000,uptrend,3481.38721,0.0,False
ETHUSDT,1754253900000,uptrend,3488.2489400000004,0.0,False
ETHUSDT,1754254800000,uptrend,3488.2489400000004,0.0,False
ETHUSDT,1754255700000,uptrend,3488.2489400000004,0.0,False
ETHUSDT,1754256600000,uptrend,3488.2489400000004,0.0,False
ETHUSDT,1754257500000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754258400000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754259300000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754260200000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754261100000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754262000000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754262900000,uptrend,3501.3289999999997,0.0,False
ETHUSDT,1754270100000,uptrend,3504.29693,0.0,False
ETHUSDT,1754271000000,uptrend,3504.29693,0.0,False
ETHUSDT,1754271900000,uptrend,3504.29693,0.0,False
ETHUSDT,1754272800000,uptrend,3504.29693,0.0,False
ETHUSDT,1754273700000,uptrend,3534.1028100000003,0.0,False
ETHUSDT,1754274600000,uptrend,3534.1028100000003,0.0,False
ETHUSDT,1754275500000,uptrend,3534.1028100000003,0.0,False
ETHUSDT,1754276400000,uptrend,3534.1028100000003,0.0,False
ETHUSDT,1754277300000,uptrend,3548.6249399999997,0.0,False
ETHUSDT,1754278200000,uptrend,3548.6249399999997,0.0,False
ETHUSDT,1754279100000,uptrend,3548.6249399999997,0.0,False
ETHUSDT,1754280000000,uptrend,3548.6249399999997,0.0,False
ETHUSDT,1754280900000,uptrend,3552.95719,0.0,False
ETHUSDT,1754281800000,uptrend,3552.95719,0.0,False
ETHUSDT,1754282700000,uptrend,3552.95719,0.0,False
ETHUSDT,1754283600000,uptrend,3552.95719,0.0,False
ETHUSDT,1754284500000,uptrend,3552.95719,0.0,False
ETHUSDT,1754285400000,uptrend,3552.95719,0.0,False
ETHUSDT,1754286300000,uptrend,3552.95719,0.0,False
ETHUSDT,1754287200000,uptrend,3552.95719,0.0,False
ETHUSDT,1754288100000,uptrend,3552.95719,0.0,False
ETHUSDT,1754289000000,uptrend,3552.95719,0.0,False
ETHUSDT,1754289900000,uptrend,3552.95719,0.0,False
ETHUSDT,1754290800000,uptrend,3552.95719,0.0,False
ETHUSDT,1754291700000,uptrend,3552.95719,0.0,False
ETHUSDT,1754292600000,uptrend,3552.95719,0.0,False
ETHUSDT,1754299800000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754300700000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754301600000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754302500000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754303400000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754304300000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754305200000,downtrend,3540.0984099999996,0.0,False
ETHUSDT,1754307000000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754307900000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754308800000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754309700000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754310600000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754311500000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754312400000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754313300000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754314200000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754315100000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754316000000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754316900000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754317800000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754318700000,uptrend,3561.4737299999997,0.0,False
ETHUSDT,1754319600000,uptrend,3561.4737299999997,0.0,False
